X1,X2,X3,X4,X5,X6,Y
0.00 ,0.00 ,42657.81 ,82,81 ,0.84 ,42567.89
42567.89 ,0.00 ,46645.77 ,84,82,0.79 ,45524.16
45524.16 ,42567.89 ,51974.25 ,86,84,0.70 ,51239.44
51239.44 ,45524.16 ,55649.47 ,88,86,0.62 ,56841.67
56841.67 ,51239.44 ,57849.61 ,88,88,0.62 ,57013.87
57013.87 ,56841.67 ,62874.66 ,90,88,0.55 ,63579.52
63579.52 ,57013.87 ,64197.40 ,90,90,0.55 ,64159.78
64159.78 ,63579.52 ,63578.14 ,90,90,0.55 ,64038.41
64038.41 ,64159.78 ,67497.77 ,90,90,0.52 ,67469.82
67469.82 ,64038.41 ,65578.85 ,90,90,0.52 ,66478.32
66478.32 ,67469.82 ,57749.22 ,88,90,0.58 ,57548.79
0.00 ,0.00 ,42567.89,79 ,79,0.94 ,38697.68
38697.68 ,0.00 ,45524.16,81 ,79 ,0.89 ,43597.67
43597.67 ,38697.68 ,51239.44,81 ,81 ,0.89 ,43678.42
43678.42 ,43597.67 ,56841.67,81 ,81 ,0.89 ,44269.75 
44269.75 ,43678.42 ,57013.87,81 ,81 ,0.89 ,44367.17 
44367.17 ,44269.75 ,63579.52,82 ,81 ,0.84 ,45597.54 
45597.54 ,44367.17 ,64159.78,79 ,82 ,0.94 ,42366.01 
42366.01 ,45597.54 ,64038.41,81 ,79 ,0.89 ,43356.34 
43356.34 ,42366.01 ,67469.82,81 ,81 ,0.89 ,43679.47 
43679.47 ,43356.34 ,66478.32,81 ,81 ,0.89 ,43567.48 
43567.48 ,43679.47 ,57548.79,81 ,81 ,0.89 ,43047.22 
0.00 ,0.00 ,38697.68 ,75,74 ,1.00 ,35876.25
35876.25 ,0.00 ,43597.67 ,75,75,0.94 ,36927.64
36927.64 ,35876.25 ,43678.42 ,75,75,0.94 ,36581.37
36581.37 ,36927.64 ,44269.75 ,75,75,1.00 ,37269.81
37269.81 ,36581.37 ,44367.17 ,75,75,1.00 ,38061.72
38061.72 ,37269.81 ,45597.54 ,77,75,0.94 ,38854.68
38854.68 ,38061.72 ,42366.01 ,77,77,0.94 ,39524.16
39524.16 ,38854.68 ,43356.34 ,77,77,0.94 ,39694.81
39694.81 ,39524.16 ,43679.47 ,77,77,0.94 ,39239.47
39239.47 ,39694.81 ,43567.48 ,75,77,1.00 ,37984.62
37984.62 ,39239.47 ,43047.22 ,75,75,1.00 ,37481.83
0.00 ,0.00 ,35876.25,77,77,1.00 ,37517.62
37517.62 ,0.00 ,36927.64,77,77,1.00 ,38745.94
38745.94 ,37517.62 ,36581.37,77,77,1.00 ,39170.41
39170.41 ,38745.94 ,37269.81,79,77,0.94 ,40621.97
