X1,X2,X3,X4,X5,Y
31,21,2,1296.36,2275.58,2033.63
31,23,3,1125.62,2033.63,2648.36
25,16,4,1666.88,2648.36,1869.54
29,17,5,1875.58,1869.54,2269.75
35,20,1,2275.58,2269.75,1728.91
32,20,2,2033.63,1728.91,1971.6
33,24,3,2648.36,1971.6,1687.84
27,23,4,1869.54,1687.84,1632.44
33,23,5,2269.75,1632.44,1285.69
33,26,1,1728.91,1285.69,1586.48
34,24,2,1971.6,1586.48,1469.86
25,24,3,1687.84,1469.86,1788.49
26,25,4,1632.44,1788.49,1659.67
24,19,5,1285.69,1659.67,1768.49
31,19,1,1586.48,1768.49,2116.61
32,18,2,1469.86,2116.61,2814.95
33,21,3,1788.49,2814.95,2578.45
33,24,4,1659.67,2578.45,1240.13
28,23,5,1768.49,1240.13,825.05
31,22,1,2116.61,825.05,1046.43
32,23,2,2814.95,1046.43,1054.26
32,23,3,2578.45,1054.26,1043.75
32,24,4,1240.13,1043.75,862.14
27,24,5,825.05,862.14,1984.94
28,22,1,1046.43,1984.94,1703.75
30,25,2,1054.26,1703.75,1943.21
30,24,3,1043.75,1943.21,1880.57
32,24,4,862.14,1880.57,1684.94
33,27,5,1984.94,1684.94,1637.01
32,24,1,1703.75,1637.01,1532.15
33,25,2,1943.21,1532.15,1632.37
33,22,3,1880.57,1632.37,1398.78
32,24,4,1684.94,1398.78,1438.19
31,24,5,1637.01,1438.19,1232.38
29,24,1,1532.15,1232.38,999.41
27,24,2,1632.37,999.41,854.19
26,23,3,1398.78,854.19,747.22
29,22,4,1438.19,747.22,1055.51
33,23,5,1232.38,1055.51,1549.37
34,25,1,999.41,1549.37,1300.4
33,25,2,854.19,1300.42,1129.33
33,25,3,747.22,1129.33,1281.26
33,24,4,1055.51,1281.26,1345.1
32,24,5,1549.37,1345.1,948.15
30,24,1,1300.42,948.15,1272.54
30,24,2,1129.33,1272.54,1588.65
28,24,3,1281.26,1588.65,810.1
27,24,4,1345.1,810.1,815.39
26,21,5,948.15,815.39,786.73
28,22,1,1272.54,786.73,1050.72
31,22,2,1588.65,1050.72,1202.75
32,22,3,810.1,1202.75,853.78
31,22,4,815.39,853.78,1274.67
29,24,5,786.73,1274.67,839.12
33,24,1,1050.72,839.12,1490.61
25,21,2,1202.75,1490.61,811.6
31,23,3,853.78,811.6,1265.84
29,21,4,1274.67,1265.84,1214.31
24,21,5,839.12,1214.31,770.67
34,25,1,1490.61,770.67,1447.55
35,25,2,811.6,1447.55,1408.76
30,24,3,1265.84,1408.76,1336.14
26,23,4,1214.31,1336.14,1638.21
28,23,5,770.67,1638.21,1384.1
26,21,1,1447.55,1384.1,833.22
26,20,2,1408.76,833.22,1062.64
30,21,3,1336.14,1062.64,907.1
32,22,4,1638.21,907.1,1354.4
34,20,5,1384.1,1354.4,1755.12
31,21,1,833.22,1755.12,1409.23
31,19,2,1062.64,1409.23,1402.26
30,20,3,907.1,1402.26,1362.37
30,17,4,1354.4,1362.37,1463.57
31,20,5,1755.12,1463.57,1767.36
26,19,1,1409.23,1767.36,957.32
33,19,2,1402.26,957.32,1337.74
35,21,3,1362.37,1337.74,1665.41
35,21,4,1463.57,1665.41,1986.74
33,23,5,1767.36,1986.74,1657.55
26,21,1,957.32,1657.55,874.96
31,21,2,1337.74,874.96,796.48
25,17,3,1665.41,796.48,896.47
28,18,4,1986.74,896.47,1038.65
