X1,X2,X3,Y
31,1296.36,2275.58,2033.63
31,1125.62,2033.63,2648.36
25,1666.88,2648.36,1869.54
29,1875.58,1869.54,2269.75
35,2275.58,2269.75,1728.91
32,2033.63,1728.91,1971.6
33,2648.36,1971.6,1687.84
27,1869.54,1687.84,1632.44
33,2269.75,1632.44,1285.69
33,1728.91,1285.69,1586.48
34,1971.6,1586.48,1469.86
25,1687.84,1469.86,1788.49
26,1632.44,1788.49,1659.67
24,1285.69,1659.67,1768.49
31,1586.48,1768.49,2116.61
32,1469.86,2116.61,2814.95
33,1788.49,2814.95,2578.45
33,1659.67,2578.45,1240.13
28,1768.49,1240.13,825.05
31,2116.61,825.05,1046.43
32,2814.95,1046.43,1054.26
32,2578.45,1054.26,1043.75
32,1240.13,1043.75,862.14
27,825.05,862.14,1984.94
28,1046.43,1984.94,1703.75
30,1054.26,1703.75,1943.21
30,1043.75,1943.21,1880.57
32,862.14,1880.57,1684.94
33,1984.94,1684.94,1637.01
32,1703.75,1637.01,1532.15
33,1943.21,1532.15,1632.37
33,1880.57,1632.37,1398.78
32,1684.94,1398.78,1438.19
31,1637.01,1438.19,1232.38
29,1532.15,1232.38,999.41
27,1632.37,999.41,854.19
26,1398.78,854.19,747.22
29,1438.19,747.22,1055.51
33,1232.38,1055.51,1549.37
34,999.41,1549.37,1300.4
33,854.19,1300.42,1129.33
33,747.22,1129.33,1281.26
33,1055.51,1281.26,1345.1
32,1549.37,1345.1,948.15
30,1300.42,948.15,1272.54
30,1129.33,1272.54,1588.65
28,1281.26,1588.65,810.1
27,1345.1,810.1,815.39
26,948.15,815.39,786.73
28,1272.54,786.73,1050.72
31,1588.65,1050.72,1202.75
32,810.1,1202.75,853.78
31,815.39,853.78,1274.67
29,786.73,1274.67,839.12
33,1050.72,839.12,1490.61
25,1202.75,1490.61,811.6
31,853.78,811.6,1265.84
29,1274.67,1265.84,1214.31
24,839.12,1214.31,770.67
34,1490.61,770.67,1447.55
35,811.6,1447.55,1408.76
30,1265.84,1408.76,1336.14
26,1214.31,1336.14,1638.21
28,770.67,1638.21,1384.1
26,1447.55,1384.1,833.22
26,1408.76,833.22,1062.64
30,1336.14,1062.64,907.1
32,1638.21,907.1,1354.4
34,1384.1,1354.4,1755.12
31,833.22,1755.12,1409.23
31,1062.64,1409.23,1402.26
30,907.1,1402.26,1362.37
30,1354.4,1362.37,1463.57
31,1755.12,1463.57,1767.36
26,1409.23,1767.36,957.32
33,1402.26,957.32,1337.74
35,1362.37,1337.74,1665.41
35,1463.57,1665.41,1986.74
33,1767.36,1986.74,1657.55
26,957.32,1657.55,874.96
31,1337.74,874.96,796.48
25,1665.41,796.48,896.47
28,1986.74,896.47,1038.65
