X1,X2,X3,X4,X5,X6,x7,X8,X9,X10,X11,Y
27.5,35,3,25.5,32,3,117.32,23,29,3,118,118.32
26,31,2,26,31,2,114.36,27.5,35,3,118.32,115.36
27,31,2,27,31,3,115.62,26,32,2,115.36,116.62
25,30,1,20.5,25,3,110.24,28.5,33,2,116.62,111.24
24,29,2,23,29,3,108.31,25,27,1,111.24,109.31
27.5,35,3,27.5,35,3,118.32,28,33,2,109.31,116.14
26,32,3,26,32,2,115.36,29.5,33,3,116.14,112.46
28.5,33,2,28.5,33,2,116.62,29,34,3,112.46,123.78
25,27,2,25,27,1,111.24,24.5,25,2,123.78,116.61
28,33,3,28,33,2,109.31,25.5,26,2,116.61,120.47
29.5,33,2,29.5,33,3,116.14,21.5,24,3,120.47,120.98
29,34,2,29,34,3,112.46,25,31,2,120.98,121.61
26,28,3,24.5,25,2,123.78,25,32,2,121.61,115.47
26.5,28,3,25.5,26,2,116.61,27,33,3,115.47,112.62
23.5,27,3,21.5,24,3,120.47,28.5,33,3,112.62,116.98
25.5,31,2,25,31,2,120.98,25.5,28,3,116.98,111.61
25,32,2,25,32,2,121.61,26.5,31,2,111.61,110.42
27,33,3,27,33,3,115.47,27.5,32,2,110.42,115.26
28.5,33,3,28.5,33,3,112.62,27.5,32,3,115.26,122.23
25.5,28,3,25.5,28,3,116.98,28,32,3,122.23,118.45
26.5,31,1,26.5,31,2,111.61,25.5,27,3,118.45,116.79
27.5,32,2,27.5,32,2,110.42,25,28,1,116.79,120.49
27.5,32,2,27.5,32,3,115.26,27.5,30,2,120.49,117.34
28,32,2,28,32,3,122.23,27,30,2,117.34,121.54
26,28,3,25.5,27,3,118.45,23,24,2,121.54,112.78
25.5,29,4,25,28,1,116.79,32.5,38,3,112.78,115.69
27.5,30,4,27.5,30,2,120.49,29.5,32,4,115.69,118.96
27,30,3,27,30,2,117.34,29.5,32,4,118.96,115.64
28,32,3,23,24,2,121.54,30.5,34,3,115.64,120.98
30,33,2,32.5,38,3,112.78,28,32,3,120.98,121.62
28,32,3,29.5,32,4,115.69,30,33,2,121.62,122.47
29,33,3,29.5,32,4,118.96,28,32,3,122.47,121.66
27.5,33,4,30.5,34,3,115.64,29,33,3,121.66,117.49
28,32,3,28,32,3,120.98,27.5,33,4,117.49,120.47
27.5,31,3,30,33,2,121.62,28,32,3,120.47,118.61
27,30,4,28,32,3,122.47,27.5,31,3,118.61,116.48
26,28,5,29,33,3,121.66,26.5,29,4,116.48,114.22
25,27,4,27.5,33,4,117.49,25.5,27,5,114.22,110.69
25.5,29,4,28,32,3,120.47,24.5,26,4,110.69,112.17
28,33,2,27.5,31,3,118.61,25.5,29,4,112.17,117.21
29.5,34,2,26.5,29,4,116.48,28,33,2,117.21,121.64
29,33,3,25.5,27,5,114.22,29.5,34,2,121.64,120.64
29,33,3,24.5,26,4,110.69,29,33,3,120.64,122.65
28.5,33,3,25.5,29,4,112.17,29,33,3,122.65,120.65
28,32,3,28,33,2,117.21,28.5,33,3,120.65,121.47
27,30,2,29.5,34,2,121.64,28,32,3,121.47,118.65
27,30,2,29,33,3,120.64,27,30,2,118.65,117.49
26,28,2,29,33,3,122.65,27,30,2,117.49,116.63
26.5,29,3,28.5,33,3,120.65,26,28,2,116.63,115.45
25.5,30,3,28,32,3,121.47,25.5,27,3,115.45,109.32
25,28,2,27,30,2,118.65,23.5,26,3,109.32,115.32
26.5,31,2,27,30,2,117.49,25,28,2,115.32,117.36
27,32,2,26,28,2,116.63,26.5,31,2,117.36,118.34
26.5,31,2,25.5,27,3,115.45,27,32,2,118.34,115.64
26.5,29,2,23.5,26,3,109.32,26.5,31,2,115.64,118.59
28.5,33,2,25,28,2,115.32,26.5,29,2,118.59,120.67
25.5,30,2,26.5,31,2,117.36,28.5,33,2,120.67,116.42
27,31,2,27,32,2,118.34,23,25,2,116.42,115.47
25,29,2,26.5,31,2,115.64,27,31,2,115.47,111.58
24.5,28,2,26.5,29,2,118.59,25,29,2,111.58,107.63
29.5,34,2,28.5,33,2,120.67,22.5,24,2,107.63,118.67
30,35,2,23,25,2,116.42,29.5,34,2,118.67,119.36
27,30,2,27,31,2,115.47,30,35,2,119.36,116.27
26,29,2,25,29,2,111.58,27,30,2,116.27,115.48
26.5,30,2,22.5,24,2,107.63,24.5,26,2,115.48,117.63
23.5,26,3,29.5,34,2,118.67,25.5,28,2,117.63,108.87
24,28,3,30,35,2,119.36,23.5,26,3,108.87,110.28
25.5,30,1,27,30,2,116.27,23,26,3,110.28,109.47
27,32,2,24.5,26,2,115.48,25.5,30,1,109.47,115.63
27,34,1,25.5,28,2,117.63,27,32,2,115.63,114.35
26,31,3,23.5,26,3,108.87,27,34,1,114.35,115.41
25,31,3,23,26,3,110.28,26,31,3,115.41,113.34
25,30,2,25.5,30,1,109.47,25,31,3,113.34,114.37
25,30,2,27,32,2,115.63,25,30,2,114.37,112.65
25.5,31,2,27,34,1,114.35,23.5,30,2,112.65,117.48
23.5,28,3,26,31,3,115.41,25.5,31,2,117.48,108.65
26,33,2,25,31,3,113.34,22.5,26,3,108.65,114.69
28,35,2,25,30,2,114.37,26,33,2,114.69,119.37
28,35,3,23.5,30,2,112.65,28,35,2,119.37,117.69
28,33,3,25.5,31,2,117.48,28,35,3,117.69,118.21
25,29,3,22.5,26,3,108.65,28,33,3,118.21,107.68
26,31,2,26,33,2,114.69,23.5,26,3,107.68,113.1
22.5,28,3,28,35,2,119.37,26,31,2,113.1,108.64
23,28,2,28,35,3,117.69,21,25,3,108.64,105.88
