最高温度,最低温度,日期类型,T-7,T-6,T-5,T-4,T-3,T-2,T-1,Y
31,21,0,1296.36,1125.62,1666.88,1875.58,1566.79,1126.48,2275.58,2033.63
31,23,0,1125.62,1666.88,1875.58,1566.79,1126.48,2275.58,2033.63,2648.36
25,16,0,1666.88,1875.58,1566.79,1126.48,2275.58,2033.63,2648.36,1869.54
29,17,0,1875.58,1566.79,1126.48,2275.58,2033.63,2648.36,1869.54,2269.75
34,18,1,1566.79,1126.48,2275.58,2033.63,2648.36,1869.54,2269.75,1320.89
34,22,1,1126.48,2275.58,2033.63,2648.36,1869.54,2269.75,1320.89,467.29
35,20,0,2275.58,2033.63,2648.36,1869.54,2269.75,1320.89,467.29,1728.91
32,20,0,2033.63,2648.36,1869.54,2269.75,1320.89,467.29,1728.91,1971.6
33,24,0,2648.36,1869.54,2269.75,1320.89,467.29,1728.91,1971.6,1687.84
27,23,0,1869.54,2269.75,1320.89,467.29,1728.91,1971.6,1687.84,1632.44
33,23,0,2269.75,1320.89,467.29,1728.91,1971.6,1687.84,1632.44,1285.69
31,24,1,1320.89,467.29,1728.91,1971.6,1687.84,1632.44,1285.69,594.16
26,24,1,467.29,1728.91,1971.6,1687.84,1632.44,1285.69,594.16,324.85
33,26,0,1728.91,1971.6,1687.84,1632.44,1285.69,594.16,324.85,1586.48
34,24,0,1971.6,1687.84,1632.44,1285.69,594.16,324.85,1586.48,1469.86
25,24,0,1687.84,1632.44,1285.69,594.16,324.85,1586.48,1469.86,1788.49
26,25,0,1632.44,1285.69,594.16,324.85,1586.48,1469.86,1788.49,1659.67
24,19,0,1285.69,594.16,324.85,1586.48,1469.86,1788.49,1659.67,1768.49
26,19,1,594.16,324.85,1586.48,1469.86,1788.49,1659.67,1768.49,1046.18
29,19,1,324.85,1586.48,1469.86,1788.49,1659.67,1768.49,1046.18,356.68
31,19,0,1586.48,1469.86,1788.49,1659.67,1768.49,1046.18,356.68,2116.61
32,18,0,1469.86,1788.49,1659.67,1768.49,1046.18,356.68,2116.61,2814.95
33,21,0,1788.49,1659.67,1768.49,1046.18,356.68,2116.61,2814.95,2578.45
33,24,0,1659.67,1768.49,1046.18,356.68,2116.61,2814.95,2578.45,1240.13
28,23,0,1768.49,1046.18,356.68,2116.61,2814.95,2578.45,1240.13,825.05
25,23,1,1046.18,356.68,2116.61,2814.95,2578.45,1240.13,825.05,235.37
26,23,1,356.68,2116.61,2814.95,2578.45,1240.13,825.05,235.37,459
31,22,0,2116.61,2814.95,2578.45,1240.13,825.05,235.37,459,1046.43
